model	random_auprc	random_mcc	random_ece	mean_shield_auprc	worst_shield_auprc	mean_shield_mcc	mean_shield_ece	random_to_mean_shield_auprc_drop	random_to_worst_shield_auprc_drop
counterfactual_mlp	0.9352173980928297	0.5290925509063947	0.15425926370465243	0.8268385035909189	0.6893750135009027	0.23118740325047218	0.22718868303048292	0.10837889450191074	0.24584238459192698
counterfactual_logistic	0.8828654540606341	0.3943770358962821	0.147818823092281	0.7844223057863914	0.6805972316832276	0.182948461747346	0.26176827474486336	0.09844314827424272	0.2022682223774065
counterfactual_no_ptmchem_logistic	0.8827432757694547	0.3943770358962821	0.1477546134659485	0.7851912998423998	0.6806600679516752	0.17868436039768937	0.260849127171333	0.09755197592705489	0.20208320781777944
motif_only	0.8583482279061763	0.28543831668914676	0.19155301157422427	0.7840691038301804	0.6565824296466815	0.17481540377413263	0.20401605739727557	0.0742791240759959	0.2017657982594948
ptm_delta_only	0.8116576964845114	0.25784538218978065	0.19550460061138833	0.7179769178773068	0.6243982249659248	0.09162188968927878	0.20199705131777212	0.09368077860720458	0.18725947151858657
sequence_logistic	0.8589150167278203	0.38083157776808485	0.1504481394555709	0.7660536243978061	0.6719158461160415	0.143692299690112	0.258384419640019	0.09286139233001423	0.18699917061177884
sequence_random_forest	0.9490583707887188	0.5490893325309584	0.06273436100904246	0.8666914320775125	0.766947623550066	0.34196358457005976	0.07429744593312347	0.08236693871120626	0.18211074723865284
topology_only	0.8401814808654109	0.26783034827953983	0.14861192735046128	0.8067027983736087	0.6657867883376622	0.24890924442300466	0.1376689009952815	0.03347868249180219	0.17439469252774864
source_assay_only	0.7891263118224956	0.16280364768424327	0.19000568195582834	0.706328313305518	0.6150616387235589	0.06136438633146749	0.19997407723539012	0.08279799851697756	0.1740646730989367
class_prior	0.7078260869565217	0.0	0.020606356014817417	0.6836014156604614	0.581151832460733	0.0	0.05780676173008487	0.02422467129606032	0.12667425449578873
counterfactual_shuffled_labels				0.6857413436815634	0.6224293609558306	0.05856223127044221	0.2591484587832229		
